model	batch	status	images_per_sec	epoch2_seconds
yolov8n.pt	32	ok	269.6452195195223	18.583678245544434
yolov8n.pt	64	ok	300.8373721626081	16.656840085983276
yolov8n.pt	128	ok	341.4286613971843	14.676565170288086
yolov8n.pt	256	OOM		
yolo11n.pt	32	ok	246.24038350485424	20.350033283233643
yolo11n.pt	64	ok	284.57803130100666	17.608527183532715
yolo11n.pt	128	ok	322.7155456384616	15.52760648727417
yolo11n.pt	256	OOM		
