visibility,mask_status,side,n,mean_error_px,median_error_px,mean_edge_confidence,mean_occlusion
visible,DFL-masked,L,9,105.65789031982422,90.11279296875,0.5450244214799669,0.008958692248496745
visible,DFL-masked,T,9,55.055547926161026,54.43803405761719,0.533507270945443,0.006823920205028521
visible,DFL-masked,R,19,87.95445090846012,71.85934448242188,0.5297338366508484,0.012036384818585296
visible,DFL-masked,B,62,57.125425769436745,36.72972106933594,0.5083789306302224,0.007304304467153645
visible,non-masked,L,32643,10.636508004308897,4.859466552734375,0.9908060979869433,0.0075070931663117815
visible,non-masked,T,47920,7.2230610833828255,3.3127593994140625,0.9880113237004149,0.005301584651184409
visible,non-masked,R,34574,9.974598563564943,4.444000244140625,0.9911609185506038,0.0063092315092629315
visible,non-masked,B,31068,9.917840740802559,3.843902587890625,0.9799730195680056,0.004776185725666039
occluded,DFL-masked,L,9,108.74567582872179,77.71368408203125,0.5048595368862152,0.16986492317583826
occluded,DFL-masked,T,1,13.904830932617188,13.904830932617188,0.5891439318656921,0.1160714253783226
occluded,DFL-masked,R,11,47.18178350275213,34.389068603515625,0.5368587997826663,0.24550094523213126
occluded,DFL-masked,B,253,52.15090529249591,35.23974609375,0.5038779887992874,0.46361961572066596
occluded,non-masked,L,15865,12.336567698192253,5.870513916015625,0.9880561567502483,0.1465786664781043
occluded,non-masked,T,596,22.818954164349794,8.936355590820312,0.9785909820723053,0.10619416437893106
occluded,non-masked,R,13922,14.25888773484265,6.861236572265625,0.9880554576086905,0.15303615577044782
occluded,non-masked,B,17143,66.95464323371264,30.79357147216797,0.9419749981462904,0.3571390076047939
