visibility,mask_status,side,n,mean_error_px,median_error_px,mean_edge_confidence,mean_occlusion
visible,DFL-masked,L,23,110.6460312553074,110.92154693603516,0.5222388233827508,0.008720410866257937
visible,DFL-masked,T,12,58.36146608988444,56.9925651550293,0.5250757560133934,0.009306700512145957
visible,DFL-masked,R,30,100.81568400065105,75.7506103515625,0.5240818411111832,0.012117133444796006
visible,DFL-masked,B,66,57.97877964828954,38.10343933105469,0.5064094531716723,0.007669697875495662
visible,non-masked,L,35333,11.509196962739946,4.7606201171875,0.9899051616505162,0.007208024698910019
visible,non-masked,T,50514,7.4715431361261295,3.3398818969726562,0.9878640951328495,0.0054538638302985745
visible,non-masked,R,37254,10.826606046637009,4.346099853515625,0.9904159391717378,0.006076800127007484
visible,non-masked,B,37170,8.40666835354899,3.0,0.9820797142592494,0.003498758858090981
occluded,DFL-masked,L,18,101.79548856947157,90.48625183105469,0.5071490887138579,0.1856421468158563
occluded,DFL-masked,T,3,65.90396626790364,69.10888671875,0.542792816956838,0.10458705325921376
occluded,DFL-masked,R,16,51.348318099975586,40.858795166015625,0.5408102888613939,0.20144331781193614
occluded,DFL-masked,B,258,49.13764323744663,34.30018615722656,0.504304424736851,0.4602528263547624
occluded,non-masked,L,15828,12.131367112254054,5.59912109375,0.9863641825112726,0.1452439505927451
occluded,non-masked,T,673,16.53241304975739,7.06317138671875,0.9714185475948838,0.10283529428546531
occluded,non-masked,R,13902,14.28269674335173,6.6078643798828125,0.986277139541863,0.1519026387964688
occluded,non-masked,B,13708,33.68584933724806,16.635848999023438,0.9278271719704643,0.38176051132529887
