pseudo_precision,pseudo_recall,num_reliable_pseudo,pseudo_labels_per_image,num_positive_anchors,sum_target_scores_unsup,target_scores_sum_used,mean_reliable_confidence,L_sup_box,L_sup_cls,L_sup_dfl,L_unsup_box,L_unsup_cls,L_unsup_dfl,norm_s,norm_u_A_current,ratio_u_over_s_A_current,lambda_ratio_A_current,cos_su_A_current,cos_total_A_current,norm_u_B_fixed,ratio_u_over_s_B_fixed,lambda_ratio_B_fixed,cos_su_B_fixed,cos_total_B_fixed,norm_u_C_count,ratio_u_over_s_C_count,lambda_ratio_C_count,cos_su_C_count,cos_total_C_count,epoch,batch
0.7647058823529411,0.06587837837837837,51,1.59375,510,234.63137817382812,234.63137817382812,0.7450464028938144,1.8863551616668701,1.9819782972335815,2.0067975521087646,0.907575786113739,9.182703018188477,1.3512057065963745,293.74298095703125,2384.8974609375,8.11899386724874,4.05949693362437,0.8710960745811462,0.9154831767082214,333.2113037109375,1.1343634582358912,0.5671817291179456,0.02275325544178486,0.8725765347480774,10866.5830078125,36.993506950901626,18.496753475450813,0.877632737159729,0.8892197012901306,10,0
0.7647058823529411,0.08253968253968254,68,2.125,656,313.8139343261719,313.8139343261719,0.7304742520346361,1.783891201019287,1.6034014225006104,1.845628023147583,0.958031952381134,6.938072681427002,1.3289750814437866,188.95851135253906,1778.953857421875,9.414520916196723,4.707260458098362,0.8316630125045776,0.8829048275947571,290.4588623046875,1.5371568087916383,0.7685784043958191,0.019858378916978836,0.7973611354827881,8095.85009765625,42.84459080306713,21.422295401533564,0.841553807258606,0.854408323764801,10,1
0.8444444444444444,0.13523131672597866,135,4.21875,1337,595.5164794921875,595.5164794921875,0.7497214330567255,1.8619403839111328,1.5524365901947021,1.824751615524292,1.0348703861236572,3.915707588195801,1.4343737363815308,180.23001098632812,970.8470458984375,5.386711350597897,2.6933556752989487,0.7491974234580994,0.8608445525169373,333.62615966796875,1.851113240476232,0.925556620238116,-0.06854426115751266,0.7120990753173828,4045.302001953125,22.445218639308596,11.222609319654298,0.8138384819030762,0.8409127593040466,10,2
0.7183098591549296,0.060570071258907364,71,2.21875,710,338.7997741699219,338.7997741699219,0.7572446465492249,1.8558714389801025,1.574796438217163,1.8487739562988281,0.9344063401222229,6.589207172393799,1.3714126348495483,173.73171997070312,1700.59521484375,9.788628208657153,4.8943141043285765,0.7823976278305054,0.8456475734710693,333.4230041503906,1.9191832338194585,0.9595916169097293,-0.02390076406300068,0.7135576009750366,7977.58740234375,45.919003183120694,22.959501591560347,0.800433337688446,0.8152963519096375,10,3
0.8651685393258427,0.15098039215686274,89,2.78125,879,410.1059875488281,410.1059875488281,0.7629152355569132,1.7435656785964966,1.6626442670822144,1.883469820022583,0.9979490637779236,5.713075160980225,1.4088373184204102,225.00604248046875,1467.52099609375,6.522140383057204,3.261070191528602,0.8279790282249451,0.8964889645576477,346.1896057128906,1.538579150570772,0.769289575285386,0.012487579137086868,0.7954294681549072,6594.12109375,29.306417823523077,14.653208911761539,0.8477352857589722,0.8653790950775146,10,4
0.8064516129032258,0.06493506493506493,62,1.9375,620,296.3539733886719,296.3539733886719,0.703654816073756,1.854678750038147,1.651553750038147,1.8489701747894287,0.8950990438461304,7.2754106521606445,1.2847343683242798,203.078857421875,1911.5841064453125,9.413013893781159,4.706506946890579,0.8055533766746521,0.8642680048942566,268.72296142578125,1.3232444028751724,0.6616222014375862,-0.07794654369354248,0.8209729790687561,9066.2470703125,44.643973210260505,22.321986605130252,0.8213090896606445,0.8351179957389832,10,5
0.8727272727272727,0.05375139977603583,55,1.71875,544,263.74969482421875,263.74969482421875,0.7287686272100968,1.7936725616455078,1.7965748310089111,1.8802289962768555,0.8940328359603882,8.305790901184082,1.2866438627243042,255.21133422851562,2155.205322265625,8.44478686176163,4.222393430880815,0.8559010624885559,0.9038885831832886,286.4866943359375,1.1225469088274034,0.5612734544137017,0.04805707186460495,0.8777310252189636,10268.3515625,40.23470036525001,20.117350182625007,0.8570447564125061,0.8694395422935486,10,6
0.8783783783783784,0.06403940886699508,74,2.3125,733,347.2340087890625,347.2340087890625,0.7130789031853547,1.8015793561935425,1.779067039489746,1.9080545902252197,0.8939694166183472,6.25869607925415,1.2942161560058594,246.33535766601562,1558.8668212890625,6.328230084625498,3.164115042312749,0.8589712381362915,0.9167423844337463,241.95245361328125,0.9822075722532826,0.4911037861266413,-0.04474359378218651,0.8938419222831726,7225.17138671875,29.330630629626146,14.665315314813073,0.8760439157485962,0.8905785083770752,10,7
0.9,0.07601351351351351,50,1.5625,495,311.39404296875,311.39404296875,0.6522487151622772,1.0831853151321411,0.8129671216011047,1.2963504791259766,1.0738043785095215,7.953474998474121,1.7098388671875,156.66476440429688,2083.71728515625,13.300484592559087,6.6502422962795436,0.5400944352149963,0.6342712640762329,406.5648498535156,2.5951262965826456,1.2975631482913228,0.28624483942985535,0.7408742904663086,12318.646484375,78.6306131516905,39.31530657584525,0.5200670957565308,0.5382570028305054,30,0
0.8305084745762712,0.07777777777777778,59,1.84375,578,338.1009826660156,338.1009826660156,0.6405087547787165,1.0915138721466064,0.7198927402496338,1.2303723096847534,1.2714855670928955,7.420010566711426,1.9209916591644287,118.01795959472656,1911.4583740234375,16.196334698442353,8.098167349221177,0.4060360789299011,0.5013522505760193,413.1924743652344,3.5010982716879404,1.7505491358439702,0.19213080406188965,0.6139870882034302,10147.6318359375,85.98379323608413,42.99189661804206,0.40169474482536316,0.42092737555503845,30,1
