image,pseudo_objects,gt_objects,matched_objects
"images/val/273275,93ed200065fae367.jpg",3,3,3
"images/val/273275,989ce000cf17943d.jpg",3,5,3
"images/val/273275,9b2370009c136faa.jpg",10,14,10
"images/val/273275,9c56b000e975a086.jpg",12,23,11
"images/val/273275,9e4cb000c4ee7c41.jpg",6,7,6
"images/val/273275,a0f82000df187896.jpg",7,13,5
"images/val/273275,a1d50000aebf1908.jpg",1,4,1
"images/val/273275,a5a2d0000ed1febc.jpg",10,14,10
"images/val/273275,a89fe0007ad3d532.jpg",2,5,2
"images/val/273275,ab0e6000f377e5ca.jpg",16,17,16
"images/val/273275,ae978000bd826f8f.jpg",1,4,1
"images/val/273275,b3594000bc421ad3.jpg",6,7,6
"images/val/273275,b6c0a00060817afe.jpg",6,7,6
"images/val/273275,ba04d000c7f2d034.jpg",42,53,42
"images/val/273275,bc1720009f98c98e.jpg",8,6,6
"images/val/273275,be690003b5815cc.jpg",10,20,10
"images/val/273275,c0ae0000aec25c12.jpg",7,36,7
"images/val/273275,c6c02000dbe1a287.jpg",12,12,12
"images/val/273275,c96a800051117e10.jpg",10,13,10
"images/val/273275,cb93f0005860ff4e.jpg",13,33,13
"images/val/273275,ce67100003bb23df.jpg",14,17,14
"images/val/273275,d34e70001efcdc2f.jpg",13,21,13
"images/val/273275,d66df00074212d08.jpg",14,24,14
"images/val/273275,d88700086ce145f.jpg",18,74,16
"images/val/273275,db46900063903fe2.jpg",15,31,14
"images/val/273275,de6b600015763c03.jpg",12,13,9
"images/val/273275,e24520008a0f6b96.jpg",5,6,5
"images/val/273275,e4a5b000b0c5dcee.jpg",95,130,94
"images/val/273275,e86dd0009579cce3.jpg",13,13,13
"images/val/273275,eaa8b0001f23904b.jpg",4,5,4
"images/val/273275,ecdfe0001addfe97.jpg",19,21,19
"images/val/273275,f068800049b82951.jpg",7,8,7
"images/val/273275,f24b700081f68d82.jpg",12,12,12
"images/val/273275,f55ba000cc5509af.jpg",5,5,5
"images/val/273275,fa7b20001ed3cf27.jpg",3,5,3
"images/val/273275,fdbe00003e1de45b.jpg",12,20,10
"images/val/273278,1002a50002f786bd8.jpg",15,24,14
"images/val/273278,101ab20001613531b.jpg",18,30,17
"images/val/273278,10853d00030835456.jpg",1,5,1
"images/val/273278,10b295000d40d842a.jpg",11,22,11
"images/val/273278,10e214000f02bcfa5.jpg",5,8,5
"images/val/273278,11432a0008a561b38.jpg",25,38,25
"images/val/273278,11762f000c90c7561.jpg",6,9,6
"images/val/273278,119a8c00081dee15f.jpg",9,18,9
"images/val/273278,11ba49000d48226cd.jpg",4,13,4
"images/val/273278,11d6b0000755a6222.jpg",10,11,9
"images/val/273278,11fd3f00067a1790c.jpg",11,72,11
"images/val/273278,1224a9000d6db2643.jpg",15,70,15
"images/val/273278,12561000074b16b92.jpg",1,8,1
"images/val/273278,128c06000217d7dc3.jpg",13,19,12
"images/val/273278,12b4e3000ec1fb1fd.jpg",6,8,6
"images/val/273278,12e4e60000934e1af.jpg",16,37,16
